	Adult_FG_1	Adult_FG_2	Adult_FG_3	Adult_OV_1	Adult_OV_2	Adult_OV_3
FUN_000414-T1	0	0	0	0	0	0
FUN_000415-T1	0	0	0	0	0	0
FUN_000416-T1	0	0	0	0	0	0
FUN_000417-T1	0	0	0	0	0	0
FUN_000418-T1	0	0	0	0	0	0
FUN_000419-T1	118	310	116	17	94	24
FUN_000420-T1	4	13	3	0	7	3
FUN_000421-T1	0	0	0	0	0	0
FUN_000422-T1	32	105	32	34	140	36
FUN_000423-T1	0	1	1	0	0	0
FUN_000424-T1	175	424	158	210	653	227
FUN_000425-T1	48	98	39	44	131	32
FUN_000426-T1	0	0	0	0	0	0
FUN_000427-T1	0	0	0	0	0	0
FUN_000428-T1	2560	4755	2094	1463	2593	1211
FUN_000429-T1	38	76	17	11	24	3
FUN_000430-T1	49	153	58	40	203	36
FUN_000431-T1	0	0	0	0	0	0
FUN_000432-T1	16	19	0	4	15	3
FUN_000433-T1	1	0	1	0	0	0
FUN_000434-T1	11	22	9	3	12	6
FUN_000435-T1	0	0	0	0	0	0
FUN_000436-T1	1	0	1	0	0	0
FUN_000437-T1	4	0	2	1	4	0
FUN_000438-T1	0	0	0	0	0	0
FUN_000439-T1	0	0	0	0	0	0
FUN_000440-T1	11	6	1	0	1	1
FUN_000441-T1	0	0	0	0	0	0
FUN_000442-T1	60	7	1	1	9	2
FUN_000443-T1	0	3	0	0	0	0
FUN_000444-T1	0	0	0	0	0	0
FUN_000445-T1	0	0	0	0	0	0
FUN_000446-T1	0	0	0	0	0	0
FUN_000447-T1	253	802	226	257	1213	279
FUN_000448-T1	9	18	1	9	18	0
FUN_000449-T1	14	26	21	4	9	3
FUN_000450-T1	59	228	79	224	625	187
FUN_000451-T1	0	0	0	0	0	0
FUN_000452-T1	0	0	0	0	0	0
FUN_000453-T1	7	18	6	5	31	7
FUN_000454-T1	0	1	0	1	2	1
FUN_000455-T1	67	257	83	171	505	176
FUN_000456-T1	8	18	8	22	64	30
FUN_000457-T1	86	195	63	56	171	51
FUN_000458-T1	33	113	25	35	133	23
FUN_000459-T1	4	12	3	20	53	25
FUN_000460-T1	324	606	245	489	1731	496
FUN_000461-T1	0	0	0	0	0	0
FUN_000462-T1	0	0	0	0	0	1
FUN_000463-T1	50	93	58	13	19	7
FUN_000464-T1	256	211	103	66	65	52
FUN_000465-T1	0	0	0	0	0	0
FUN_000466-T1	0	0	0	0	1	0
FUN_000467-T1	8	82	21	89	262	76
FUN_000468-T1	1	18	2	1	11	0
FUN_000469-T1	2	35	0	2	11	5
FUN_000470-T1	105	291	46	96	268	62
FUN_000471-T1	99	278	57	155	373	143
FUN_000472-T1	20	129	56	112	407	126
FUN_000473-T1	0	0	2	0	0	0
FUN_000474-T1	0	0	0	0	0	0
FUN_000475-T1	0	3	0	0	1	0
FUN_000476-T1	0	0	0	0	0	0
FUN_000477-T1	4	0	0	0	1	0
